Abstracts of Papers, 221st ACS National Meeting, San Diego, CA, United States, April 1-5, 2001
Abstracts of Papers, 222nd ACS National Meeting, Chicago, IL, United States, August 26-30, 2001
Abstracts of Papers, 225th ACS National Meeting, New Orleans, LA, United States, March 23-27, 2003
Abstracts of Papers, 230th ACS National Meeting, Washington, DC, United States, Aug. 28-Sept. 1, 2005
Accounts of Chemical Research	Acc. Chem. Res.
Metallurgical and Materials Transactions B: Process Metallurgy and Materials Processing Science	Metall. Mater. Trans. B
Metallurgical Transactions A	Metall. Trans. A
Metallurgical Transactions B	Metall. Trans. B
Methods in Enzymology	Methods Enzymol.
Methods of Biochemical Analysis	Methods Biochem. Anal.
Microbial and Comparative Genomics	Microb. Comp. Genomics
Microbiological Research	Microbiol. Res.
Microchemical Journal	Microchem. J.
Microelectronic Engineering	Microelectron. Eng.
Microelectronics Journal	Microelectron. J.
Microporous and Mesoporous Materials	Microporous Mesoporous Mater.
Microporous Materials	Microporous Mater.
Microscale Thermophysical Engineering	Microscale Thermophys. Eng.
Microscopy and Microanalysis	Microsc. Microanal.
Microscopy Research and Technique	Microsc. Res. Tech.
Mikrochimica Acta	Mikrochim. Acta
Mine Water and the Environment	Mine Water Environ.
Mineral Processing and Extractive Metallurgy Review	Miner. Process. Extr. Metall. Rev.
Minerals and Metallurgical Processing	Miner. Metall. Process
Minerals Engineering	Miner. Eng.
Mini - Reviews in Medicinal Chemistry	Mini-Rev. Med. Chem.
Modelling and Simulation in Materials Science and Engineering	Modell. Simul. Mater. Sci. Eng.
Modern Drug Discovery	Mod. Drug Discovery
Modern Physics Letters A	Mod. Phys. Lett. A
Modern Physics Letters B	Mod. Phys. Lett. B
Molecular and Cellular Biochemistry	Mol. Cell. Biochem.
Molecular and Supramolecular Photochemistry	Mol. Supramol. Photochem.
Molecular Crystals and Liquid Crystals Science and Technology Section A	Mol. Cryst. Liq. Cryst. Sci. Technol., Sect. A
Molecular Crystals and Liquid Crystals Science and Technology Section C	Mol. Cryst. Liq. Cryst. Sci. Technol., Sect. C
Molecular Interventions	Mol. Interventions
Molecular Marine Biology and Biotechnology	Mol. Mar. Biol. Biotech,
Molecular Microbiology	Mol. Microbiol.
Molecular Pharmacology	Mol. Pharmacol.
Molecular Physics	Mol. Phys.
Molecular Reproduction and Development	Mol. Reprod. Dev
Monatshefte fur Chemie	Monatsh. Chem.
Monthy Notices of the Royal Astronomical Society	Mon. Not. R. Astron. Soc.
MRS Bulletin	MRS Bull.
MRS Internet Journal of Nitride Semiconductor Research	MRS Internet J. Nitride Semicond. Res.
Nachrichten aus Chemie Technik und Laboratorium	Nachr. Chem. Tech. Lab.
Nachrichten aus Chemie, Technik und Laboratorium	Nach. Chem. Tech. Lab.
Nachrichten aus Chemie, Technik und Laboratorium	Nachr. Chem. Tech. Lab.
Nano Letters	Nano Lett.
Nanostructured Materials	Nanostruct. Mater.
NATO ASI Series, Series A Life Sciences	NATO ASI Ser., Ser. A
NATO ASI Series, Series B Physics	NATO ASI Ser., Ser. B
NATO ASI Series, Series C Mathematical and Physical Sciences	NATO ASI Ser., Ser. C
NATO ASI Series, Series E Applied Physics	NATO ASI Ser., Ser. E
NATO ASI Series, Series G Ecological Sciences	NATO ASI Ser., Ser. G
NATO ASI Series, Series H Cell Biology	NATO ASI Ser., Ser. H
Natural Product Sciences	Nat. Prod. Sci.
Natural Products Letters	Nat. Prod. Lett.
Natural Products Reports	Nat. Prod. Rep.
Natural Structural Biology	Nat. Struct. Biol.
Natural Toxins	Nat. Toxins
Nature Biotechnology	Nat. Biotechnol.
Naunyn-Schmiedeberg's Archives of Pharmacology	Naunyn-Schmiedeberg's Arch. Pharmacol.
NDT and E International	NDT and E Int.
Neftyanoe Khozyaistvo	Neft. Khoz.
Neorganicheskie Materialy	Neorg. Mater.
Neurochemical Research	Neurochem. Res.
Neurochemistry International	Neurochem. Int.
New Comprehensive Biochemistry	New Compr. Biochem.
New Diamond and Frontier Carbon Technology	New Diamond Front. Carbon Technol.
New Journal of Chemistry	New J. Chem.
New Polymeric Materials	New Polym. Mat.
NMR in Biomedicine	NMR Biomed.
Nova Acta Leopoldina, Supplementum
Nuclear Engineering and Design	Nucl. Eng. Des.
Nuclear Fusion	Nucl. Fusion
Nuclear Instruments and Methods in Physical Research Section A	Nucl. Instrum. Methods Phys. Res., Sect. A
Nuclear Instruments and Methods in Physical Research Section B	Nucl. Instrum. Methods Phys. Res., Sect. B
Nuclear Physics A	Nucl. Phys. A
Nuclear Physics B	Nucl. Phys. B
Nuclear Technology	Nucl. Technol.
Nucleic Acids Research	Nucleic Acids Res.
Numerical Heat Transfer Part A	Numer. Heat Transfer, Part A
Numerical Heat Transfer Part B	Numer. Heat Transfer, Part B
Nuovo Cimento della Societa Italiana di Fisica A	Nuovo Cimento Soc. Ital. Fis., A
Nuovo Cimento della Societa Italiana di Fisica B	Nuovo Cimento Soc. Ital. Fis., B
Nuovo Cimento della Societa Italiana di Fisica C	Nuovo Cimento Soc. Ital. Fis., C
Nuovo Cimento della Societa Italiana di Fisica D	Nuovo Cimento Soc. Ital. Fis., D
Oil and Gas Journal	Oil Gas J.
Optical Materials	Opt. Mater.
Opticheskii Zhurnal	Opt. Zh.
Optics and Spectroscopy	Opt. Spectrosc.
Optics Communication	Opt. Commun.
Optics Express	Opt. Express
Optics Letters	Opt. Lett.
Optika i Spektroskopiya	Opt Spektrosk.
Organic Electronics	Org. Electron.
Organic Geochemistry	Org. Geochem.
Organic Letters	Org. Lett.
Organic Mass Spectrometry	Org. Mass Spectrom.
Organic Preparations and Procedures International	Org. Prep. Proced. Int.
Organic Process Research and Development	Org. Process Res. Dev.
Organic Reaction Mechanics	Org. React. Mech.
Organic Synthesis Highlights IV
Organic Synthesis Highlights V
Organic Synthesis via Organometallics, Proceedings of the Symposium, 5th, Heidelberg, Sept. 26-28, 1996
Organohalogen Compounds	Organohalogen Compd.
Organometallic Chemistry	Organomet. Chem.
Origins of Life and Evolution of the Biosphere	Origins Life Evol. Biosphere
Oxidation of Metals	Oxid. Met.
Ozone Science and Engineering	Ozone Sci. Eng.
Particle and Particle Systems Characterization	Part. Part. Syst. Char.
Particulate Science and Technology	Part. Sci. Technol.
Peptides 2000, Proceedings of the European Peptide Symposium, 26th, Montpellier, France, Sept. 10-15, 2000
Peptides 2002, Proceedings of the European Peptide Symposium, 27th, Sorrento, Italy, Aug. 31-Sept. 6, 2002
Perspectives in Drug Discovery and Design	Perspect. Drug Discovery Des.
Pesticide Biochemistry and Physiology	Pestic. Biochem. Physiol.
Pesticide Outlook	Pestic. Outlook
Petroleum Science and Technology	Pet. Sci. Technol.
Pharmaceutical and Pharmacological Letters	Pharm. Pharmacol. Lett.
Pharmaceutical Chemistry Journal	Pharm. Chem. J.
Pharmaceutical Research	Pharm. Res.
Pharmaceutical Technology	Pharm. Technol.
Pharmacological Research	Pharmacol. Res.
Pharmacy and Pharmacology Communications	Pharm. Pharmacol. Commun.
Phase Transitions	Phase Transitions
Philosophical Magazine A	Philos. Mag. A
Philosophical Magazine B	Philos. Mag. B
Philosophical Magazine Letters	Philos. Mag. Lett.
Philosophical Transactions of the Royal Society of London, Series A	Philos. Trans. R. Soc. London, Ser. A
Philosophical Transactions of the Royal Society of London, Series B	Philos. Trans. R. Soc. London, Ser. B
Phosphorus Sulfur Silicon and the Related Elements	Phosphorus, Sulfur Silicon Relat. Elem.
Phosphorus, Sulfur and Silicon and the Related Elements	Phosphorus, Sulfur Silicon Relat. Elem.
Photochemistry and Photobiology	Photochem. Photobiol.
Photosynthesis Research	Photosynth. Res.
Physica A	Physica A
Physica B	Physica B
Physica C	Physica C
Physica D	Physica D
Physica E	Physica E
Physica Scripta	Phys. Scr.
Physical Chemistry Chemical Physics	PCCP
Physical Chemistry Chemical Physics	Phys. Chem. Chem. Phys.
Physical Review A: Atomic, Molecular, and Optical Physics	Phys. Rev. A: At. Mol. Opt. Phys.
Physical Review B: Condensed Matter	Phys. Rev. B: Condens. Matter
Physical Review C: Nuclear Physics	Phys. Rev. C: Nucl. Phys.
Physical Review D: Particles and Fields	Phys. Rev. D: Part. Fields
Physical Review E: Statistical Physics, Plasmas, Fluids, and Related Interdisciplinary Topics	Phys. Rev. E: Stat. Phys., Plasmas, Fluids,
Physical Review Letters	Phys. Rev. Lett.
Physical Status Solidi A	Phys. Status Solidi A
Physical Status Solidi B	Phys. Status Solidi B
Physics and Chemistry of Glasses	Phys. Chem. Glasses
Physics and Chemistry of Liquids	Phys. Chem. Liq.
Physics and Chemistry of Minerals	Phys. Chem. Miner.
Physics Letters A	Phys. Lett. A
Physics Letters B	Phys. Lett. B
Physics of Fluids A	Phys. Fluids A
Physics of Fluids B	Phys. Fluids B
Physiologia Plantarum	Physiol. Plant.
Physiological and Biochemical Zoology	Physiol. Biochem. Zool.
Physiological Chemistry and Physics and Medical NMR	Physiol. Chem. Phys. Med. NMR
Phytochemical Analysis	Phytochem. Anal
Plant Physiology and Biochemistry	Plant Physiol. Biochem.
Planta Medica	Planta Med.
Plasma Chemistry and Plasma Processing	Plasma Chem. Plasma Process.
Plasma Physics and Controlled Fusion	Plasma Phys. Controlled Fusion
Plasma Sources Science and Technology	Plasma Sources Sci. Technol.
Plasmas and Polymers	Plasmas Polym.
Plastics Engineering	Plast. Eng.
Plastics Rubber and Composites Processing and Applications	Plast. Rubber Compos. Process. Appl.
Plating and Surface Finishing	Plat. Surf. Finish.
Platinum Metals Review	Platinum Met. Rev.
Polish Journal of chemistry	Pol. J. Chem.
Polycyclic Aromatic Compounds	Polycyclic Aromat. Compd.
Polymer - Plastics Technology and Engineering	Polym. Plast. Technol. Eng.
Polymer Bulletin	Polym. Bull.
Polymer Composites	Polym. Compos.
Polymer Degradation and Stability	Polym. Degrad. Stab.
Polymer Engineering and Science	Polym. Eng. Sci.
Polymer Gels and Networks	Polym. Gels Networks
Polymer International	Polym. Int.
Polymer Journal	Polym. J.
Polymer Networks and Blends	Polym. Networks Blends
Polymer Reaction Engineering	Polym. React. Eng.
Polymer Recycling	Polym. Recycl.
Polymer Testing	Polym. Test.
Polymeric Materials Science and Engineering	Polym. Mater. Sci. Eng.
Polymeric Preprints (American Chemical Society, Division of Polymer Chemistry)	Polym. Prepr. (Am. Chem. Soc., Div. Polym. Chem.)
Polymers and Polymer Composites	Polym. Polym. Compos.
Polymers for Advanced Technologies	Polym. Adv. Technol.
Powder Diffraction	Powder Diffr.
Powder Metallurgy and Metal Ceramics	Powder Metall. Met. Ceram.
Powder Metallurgy	Powder Metall.
Powder Technology	Powder Technol.
Preparation of Alkenes
Preparative Biochemistry and Biotechnology	Prep. Biochem. Biotechnol.
Preprint Papers - American Chemical Society, Division of Fuel Chemistry	Prepr. Pap. - Am. Chem. Soc., Div. Fuel Chem.
Preprints - American Chemical Society, Division of Petroleum Chemistry	Prepr. - Am. Chem. Soc., Div. Pet. Chem.
Proceedings of the Royal Society of London Series A	Proc. R. Soc. London, Ser. A
Proceedings of the Royal Society of London Series B	Proc. R. Soc. London, Ser. B
Process Biochemistry	Process Biochem.
Process Control and Quality	Process Control Qual.
Process Safety and Environment Protection	Process Saf. Environ. Prot.
Process Safety Progress	Process Saf. Prog.
Progress in Biophysics and Molecular biology	Prog. Biophys. Mol. Biol.
Progress in Biotechnology	Prog. Biotechnol.
Progress in Colloid and Polymer Science	Prog. Colloid Polym. Sci.
Progress in Crystal Growth and Characterization of Materials	Prog. Cryst. Growth Charact. Mater.
Progress in Energy and Combustion Science	Prog. Energy Combust. Sci.
Progress in Heterocyclic Chemistry	Prog. Heterocycl. Chem.
Progress in Industrial Microbiology	Prog. Ind. Microbiol.
Progress in Inorganic Chemistry	Prog. Inorg. Chem.
Progress in Lipid Research	Prog. Lipid Res.
Progress in Materials Science	Prog. Mater Sci.
Progress in Nuclear Magnetic Resonance Spectroscopy	Prog. Nucl. Magn. Reson. Spectrosc.
Progress in Organic Coatings	Prog. Org. Coat.
Progress in Paper Recycling	Prog. Pap. Recycl.
Progress in Polymer Science	Prog. Polym. Sci.
Progress in Reaction Kinetics	Prog. React. Kinet.
Progress in Solid State Chemistry	Prog. Solid State Chem.
Progress in Surface Science	Prog. Surf. Sci.
Protection of Metals	Prot. Met
Protein Engineering	Protein Eng.
Protein Science	Protein Sci.
Przemysl Chemiczny	Przem. Chem.
Pure and Applied Chemistry	Pure Appl. Chem.
Quantitative Structure-Activity Relationships	Quant. Struct.-Act. Relat.
Quimica Analitica (Barcelona)	Quim. Anal. (Barcelona)
Quimica Nova	Quim. Nova
Radiation Effects and Defects in Solids	Radiat Eff. Defects Solids
Radiation Physics and Chemistry	Radiat. Phys. Chem.
Radiation Protection Dosimetry	Radiat. Prot. Dosim.
Radiation Research	Radiat. Res.
Radiochima Acta	Radiochim. Acta
Rapid Communications in Mass Spectrometry	Rapid Commun. Mass Spectrom.
RAPRA Review Reports	Rapra Rev. Rep.
Reaction Kinetics and Catalysis Letters	React. Kinet. Catal. Lett.
Reactive and Functional Polymers	React. Funct. Polym.
Recueil des Travaux Chimiques des Pays-Bas	Recl. Trav. Chim. Pays-Bas
Refractories and Industrial Ceramics	Refract. Ind. Ceram
Regulatory Toxicology and Pharmacology	Regul. Toxicol. Pharm.
Reports on Progress in Physics	Rep. Prog. Phys.
Research Communications in Molecular Pathology and Pharmacology	Res. Commun. Mol. Pathol. Pharmacol.
Research in Microbiology	Res. Microbiol.
Research on Chemical Intermediates	Res. Chem. Intermed.
Review of Scientific Instruments	Rev. Sci. Instrum.
Reviews in Analytical Chemistry	Rev. Anal. Chem
Reviews in Chemical Engineering	Rev. Chem. Eng.
Reviews in Computational Chemistry	Rev. Comput. Chem.
Reviews of Environment Contamination and Toxicology	Rev. Environ. Contam. Toxicol.
Reviews of Physiology Biochemistry and Pharmacology	Rev. Physiol., Biochem. Pharmacol.
Revista de Chimie	Rev. Chim.
Revue de Metallurgie / Cahiers d'Informations Techniques	Rev. Metall. / Cah. Inf. Tech.
Revue Generale de Thermique	Rev. Gen. Therm.
Revue Roumaine de Chimie	Rev. Roum. Chim.
Rheologica Acta	Rheol. Acta
Rubber Chemistry and Technology	Rubber Chem. Technol.
Russian Chemical Bulletin	Russ. Chem. Bull.
Russian Journal of Applied Chemistry	Russ. J. Appl. Chem.
Russian Journal of Bioorganic Chemistry	Russ. J. Bioorg. Chem.
Russian Journal of Electrochemistry	Russ. J. Electrochem.
Russian Journal of General Chemistry	Russ. J. Gen. Chem.
Russian Journal of Nondestructive Testing	Russ. J. Nondestr. Test.
Russian Journal of Organic Chemistry	Russ. J. Org. Chem.
Russian Metallurgy	Russ. Metall.
Russion Journal of Coordination Chemistry	Russ. J. Coord. Chem.
SAMPE Journal	SAMPE J.
Scandinavian Journal of Metallurgy	Scand. J. Metall.
Science and Technology of Welding and Joining	Sci. Technol. Weld. Joining
Science in China, Series B Chemistry	Sci. China, Ser. B
Science in China, Series E Technological Sciences	Sci. China, Ser. E
Science of the Total Environment	Sci. Total Environ.
Science Progress	Sci. Prog.
Scripta Materialia	Scripta Mater.
Semiconductor Science and Technology	Semicond. Sci. Technol.
Sensors and Actuators, A	Sens. Actuators, A
Sensors and Actuators, B	Sens. Actuators, B
Separation and Purification Methods	Sep. Purif. Methods
Separation and Purification Technology	Sep. Purif. Technol.
Separation Science and Technology	Sep. Sci. Technol.
Silicates Industriels	Silic. Indus.
Smart Materials and Structures	Smart Mater. Struct.
Soil Biology and Biochemistry	Soil Biol. Biochem.
Solar Energy Materials and Solar Cells	Sol. Energy Mater. Sol. Cells
Solid State Communications	Solid State Commun.
Solid State Electronics	Solid-State Electron.
Solid State Ionics	Solid State Ionics
Solid State Nuclear Magnetic Resonance	Solid State Nucl. Magn. Reson.
Solvent Extraction and Ion Exchange	Solvent Extr. Ion Exch.
South African Journal of Chemistry	S. Afr. J. Chem.
Special Publication - Royal Society of Chemistry
Spectrochimica Acta	Spectrochim. Acta
Spectrochimica Acta, Part A	Spectrochim. Acta, Part A
Spectrochimica Acta, Part B	Spectrochim. Acta, Part B
Spectroscopic Properties of Inorganic and Organometallic Compounds	Spectrosc. Prop. Inorg. Organomet. Compd.
Spectroscopy Europe	Spectrosc. Eur.
Spectroscopy Letters	Spectrosc. Lett.
Speculations in Science and Technology	Speculations Sci. Technol.
Spill Science and Technology Bulletin	Spill Sci. Technol. Bull.
Springer Series in Chemical Physics	Springer Ser. Chem. Phys.
Springer Series in Solid-State Sciences	Springer Ser. Solid-State Sci.
Structural Chemistry	Struct. Chem.
Structure and Bonding	Struct. Bond.
Studies in Natural Products Chemistry	Stud. Nat. Prod. Chem.
Studies in Surface Science and Catalysis	Stud. Surf. Sci. Catal.
Superconductor Science and Technology	Supercond. Sci. Technol.
Superlattices and Microstructures	Superlattices Microstruct.
Supramolecular Chemistry	Supramol. Chem.
Supramolecular Photosensitive and Electroactive Materials	Supramol. Photosensit. Electroact. Mater.
Supramolecular Science	Supramol. Sci.
Surface and Coatings Technology	Surf. Coat. Technol.
Surface and Interface Analysis	Surf. Interface Anal.
Surface Coatings International	Surf. Coat. Int.
Surface Engineering	Surf. Eng.
Surface Review and Letters	Surf. Rev. Lett.
Surface Science Reports	Surf. Sci. Rep.
Surface Science Spectra	Surf. Sci. Spectra
Surface Science	Surf. Sci.
Synlett
Synthesis
Synthesis and Reactivity in Inorganic and Metal-Organic Chemistry	Synth. React. Inorg. Met.-Org. Chem.
Synthetic Communications	Synth. Commun.
Synthetic Metals	Synth. Met.
Tappi Journal	Tappi J.
Tetrahedron
Tetrahedron Letters	Tetrahedron Lett.
Tetrahedron: Asymmetry	Tetrahedron: Asymmetry
THEOCHEM Journal of Molecular Structure	THEOCHEM
Theoretical and Experimental Chemistry	Theor. Exp. Chem.
Theoretical Chemistry Accounts	Theor. Chem. Acc.
Theoretical Foundations of Chemical Engineering	Theor. Found. Chem. Eng.
Thermochimica Acta	Thermochim. Acta
Thin Solid Films	Thin Solid Films
Tissue Engineering	Tissue Eng.
Topics in Applied Physics	Top. Appl. Phys.
Topics in Biological and Inorganic Chemistry	Top. Biol. Inorg. Chem.
Topics in Catalysis	Top. Catal.
Topics in Current Chemistry	Top. Curr. Chem.
Topics in Fluorescence Spectroscopy	Top. Fluoresc. Spectrosc.
Topics in Inorganic Chemistry	Top. Inorg. Chem.
Toxicological and Environmental Chemistry	Toxicol. Environ. Chem.
Toxicological Sciences	Toxicol. Sci.
Toxicology and Applied Pharmacology	Toxicol. Appl. Pharmacol.
Toxicology Letters	Toxicol. Lett.
TRAC Trends in Analytical Chemistry	TrAC, Trends Anal. Chem.
Trace Elements and Electrolytes	Trace Elem. Electrolytes
Transactions of the Institution of Metal Finishing	Trans. Inst. Met. Finish.
Transactions of the Institution of Mining and Metallurgy Section A	Trans. Inst. Min. Metall., Sect. A
Transactions of the Institution of Mining and Metallurgy Section B	Trans. Inst. Min. Metall., Sect. B
Transactions of the Institution of Mining and Metallurgy Section C	Trans. Inst. Min. Metall., Sect. C
Transition Metal Chemistry	Transition Met. Chem.
Transition Metals for Organic Synthesis
Transition Metals for Organic Synthesis (2nd Edition)
Trends in Biochemical Sciences	Trends Biochem. Sci
Trends in Biotechnology	Trends Biotechnol.
Tsvetnaya Metally	Tsvetn. Met. (Moscow)
Ukrainskii Fizicheskii Zhurnal	Ukr. Fiz. Zh.
Ukrainskii Khimicheskii Zhurnal	Ukr. Khim. Zh.
Ultrasonics Sonochemistry	Ultrason. Sonochem.
Uspekhi Khimii	Usp. Khim.
Vibrational Spectroscopy	Vib. Spectrosc
Waste Management and Research	Waste Manage. Res.
Waste Management	Waste Manage. (Oxford)
Water Environment Research	Water Environ. Res
Water Research	Water Res.
Water Resources Research	Water Resour. Res.
Water Science and Technology	Water Sci. Technol.
Water, Air, and Soil Pollution	Water, Air, Soil Pollut.
World Journal of Microbiology and Biotechnology	World J. Microbiol. Biotechnol.
X-Ray Spectrometry	X-Ray Spectrom.
Zeitschrift fur Anorganische und Allgemeine Chemie	Z. Anorg. Allg. Chem.
Zeitschrift fur Kristallograhie - New Crystral Stuctures	Z. Kristallogr. - New Cryst. Struct.
Zeitschrift fur Kristallograhie	Z. Kristallogr.
Zeitschrift fur MetaIlkunde	Z. MetaIlkd.
Zeitschrift fur Naturforschung A: Journal of Physical Sciences	Z. Naturforsch., A: Phys. Sci.
Zeitschrift fur Naturforschung B: Journal of Chemical Sciences	Z. Naturforsch., B: Chem. Sci.
Zeitschrift fur Naturforschung C: Journal of Biosciences	Z. Naturforsch., C: Biosci.
Zeitschrift fur Physik A: Hadrons and Nuclei	Z. Phys. A: Hadrons Nucl.
Zeitschrift fur Physik B: Condensed Matter	Z. Phys. B: Condens. Matter
Zeitschrift fur Physik C: Particle Fields	Z. Phys. C: Part. Fields
Zeitschrift fur Physik D: Atoms, Molecules and Clusters	Z. Phys. D: At., Mol. Clusters
Zeitschrift fur Physikalische Chemie	Z. Phys. Chem.
Zhurnal Fizicheskoi Khimii	Zh. Fiz. Khim.
Zhurnal Neorganicheskoi Khimii	Zh. Neorg. Khim.
Zhurnal Obshchei Khimii	Zh. Obshch. Khim.
Zhurnal Organicheskoi Khimii	Zh. Org. Khim.
Zhurnal Prikladnoi Khimii	Zh. Prikl. Khim.
