AACN Clinical Issues	AACN Clin. Issues	AACN Clin Issues	
Journal of the American Mosquito Control Association. Supplement	J. Am. Mosq. Control Assoc. Suppl.	J Am Mosq Control Assoc Suppl	
Journal of the American Oil Chemists Society	J. Am. Oil Chem. Soc.	J Am Oil Chem Soc	
Journal of the American Optometric Association	J. Am. Optom. Assoc.	J Am Optom Assoc	
Journal of the American Osteopathic Association	J. Am. Osteopath. Assoc.	J Am Osteopath Assoc	
Journal of the American Paraplegia Society	J. Am. Paraplegia Soc.	J Am Paraplegia Soc	
Journal of the American Pharmaceutical Association	J. Am. Pharm. Assoc. (Wash).	J Am Pharm Assoc (Wash)	
Journal of the American Planning Association	J. Am. Plann. Assoc.	J Am Plann Assoc	
Journal of the American Podiatric Medical Association	J. Am. Podiatr. Med. Assoc.	J Am Podiatr Med Assoc	
Journal of the American Podiatry Association	J. Am. Podiatry Assoc.	J Am Podiatry Assoc	
Journal of the American Psychoanalytic Association	J. Am. Psychoanal. Assoc.	J Am Psychoanal Assoc	
Journal of the American Society for Geriatric Dentistry	J. Am. Soc. Geriatr. Dent.	J Am Soc Geriatr Dent	
Journal of the American Society for Information Science	J. Am. Soc. Inf. Sci.	J Am Soc Inf Sci	
Journal of the American Society for Mass Spectrometry	J. Am. Soc. Mass Spectrom.	J Am Soc Mass Spectrom	
Journal of the American Society for Preventive Dentistry	J. Am. Soc. Prev. Dent.	J Am Soc Prev Dent	
Journal of the American Society of Echocardiography	J. Am. Soc. Echocardiogr.	J Am Soc Echocardiogr	
Journal of the American Society of Nephrology	J. Am. Soc. Nephrol.	J Am Soc Nephrol	
Journal of the American Society of Psychosomatic Dentistry and Medicine	J. Am. Soc. Psychosom. Dent. Med.	J Am Soc Psychosom Dent Med	Journal of the American Society of Psychosomatic Dentistry & Medicine
Journal of the American Venereal Disease Association	J. Am. Vener. Dis. Assoc.	J Am Vener Dis Assoc	
Journal of the American Veterinary Medical Association	J. Am. Vet. Med. Assoc.	J Am Vet Med Assoc	
Journal of the Anatomical Society of India	J. Anat. Soc. India	J Anat Soc India	
Journal of the Arkansas Medical Society	J. Ark. Med. Soc.	J Ark Med Soc	
Journal of the Association for Academic Minority Physicians	J. Assoc. Acad. Minor. Phys.	J Assoc Acad Minor Phys	
Journal of the Association for Physical and Mental Rehabilitation	J. Assoc. Phys. Ment. Rehabil.	J Assoc Phys Ment Rehabil	Journal of the Association for Physical & Mental Rehabilitation
Journal of the Association for the Care of Children in Hospitals	J. Assoc. Care Child. Hosp.	J Assoc Care Child Hosp	
Journal of the Association for the Care of Childrens Health	J. Assoc. Care Child. Health	J Assoc Care Child Health	
Journal of the Association of Nurses in AIDS Care	J. Assoc. Nurses AIDS Care	J Assoc Nurses AIDS Care	
Journal of the Association of Pediatric Oncology Nurses	J. Assoc. Pediatr. Oncol. Nurses	J Assoc Pediatr Oncol Nurses	
Journal of the Association of Physicians of India	J. Assoc. Physicians India	J Assoc Physicians India	
Journal of the Australian Institute of Surgical and Dental Technicians (Melbourne)	J. Aust. Inst. Surg. Dent. Tech.	J Aust Inst Surg Dent Tech	Journal of the Australian Institute of Surgical & Dental Technicians (Melbourne)
Journal of the Autonomic Nervous System	J. Auton. Nerv. Syst.	J Auton Nerv Syst	
Journal of the Baltimore College of Dental Surgery	J. Baltimore Coll. Dent. Surg.	J Baltimore Coll Dent Surg	
Journal of the Bergen County Dental Society	J. Bergen Cty. Dent. Soc.	J Bergen Cty Dent Soc	
Journal of the Biological Photographic Association	J. Biol. Photogr. Assoc.	J Biol Photogr Assoc	
Journal of the British Endodontic Society	J. Br. Endod. Soc.	J Br Endod Soc	
Journal of the California Dental Association	J. Calif. Dent. Assoc.	J Calif Dent Assoc	
Journal of the Canadian Association of Radiologists	J. Can. Assoc. Radiol.	J Can Assoc Radiol	
Journal of the Canadian Dental Association	J. Can. Dent. Assoc.	J Can Dent Assoc	
Journal of the Canadian Dietetic Association	J. Can. Diet. Assoc.	J Can Diet Assoc	
Journal of the Catholic Nurses Guild of England and Wales	J. Cathol. Nurses Guild Engl. Wales	J Cathol Nurses Guild Engl Wales	Journal of the Catholic Nurses Guild of England & Wales
Journal of the Charles H. Tweed International Foundation	J. Charles H. Tweed Int. Found.	J Charles H Tweed Int Found	
Journal of the Chemical Society. Perkin Transactions 1	J. Chem. Soc. [Perkin. 1].	J Chem Soc [Perkin 1]	
Journal of the College of General Practitioners	J. Coll. Gen. Pract.	J Coll Gen Pract	
Journal of the College of Radiologists of Australasia	J. Coll. Radiol. Australas.	J Coll Radiol Australas	
Journal of the Colorado Dental Association	J. Colo. Dent. Assoc.	J Colo Dent Assoc	
Journal of the Dental Association of South Africa	J. Dent. Assoc. S. Afr.	J Dent Assoc S Afr	
Journal of the Dental Association of Thailand	J. Dent. Assoc. Thai.	J Dent Assoc Thai	
Journal of the Dental Auxiliaries	J. Dent. Aux.	J Dent Aux	
Journal of the Dental Guidance Council on the Handicapped	J. Dent. Guid. Counc. Handicap.	J Dent Guid Counc Handicap	
Journal of the Dental School, National University of Iran	J. Dent. Sch. Natl. Univ. Iran	J Dent Sch Natl Univ Iran	
Journal of the Egyptian Medical Association	J. Egypt. Med. Assoc.	J Egypt Med Assoc	
Journal of the Egyptian Public Health Association	J. Egypt. Public Health Assoc.	J Egypt Public Health Assoc	
Journal of the Egyptian Society of Parasitology	J. Egypt. Soc. Parasitol.	J Egypt Soc Parasitol	
Journal of the European Academy of Dermatology and Venereology	J. Eur. Acad. Dermatol. Venereol.	J Eur Acad Dermatol Venereol	Journal of the European Academy of Dermatology & Venereology
Journal of the Experimental Analysis of Behavior	J. Exp. Anal. Behav.	J Exp Anal Behav	
Journal of the Florida Medical Association	J. Fla. Med. Assoc.	J Fla Med Assoc	
Journal of the Florida State Dental Society	J. Fla. State Dent. Soc.	J Fla State Dent Soc	
Journal of the Formosan Medical Association	J. Formos. Med. Assoc.	J Formos Med Assoc	
Journal of the Georgia Dental Association	J. Ga. Dent. Assoc.	J Ga Dent Assoc	
Journal of the Greater Houston Dental Society	J. Gt. Houst. Dent. Soc.	J Gt Houst Dent Soc	
Journal of the Hawaii Dental Association	J. Hawaii Dent. Assoc.	J Hawaii Dent Assoc	
Journal of the Hawaii State Dental Association	J. Hawaii State Dent. Assoc.	J Hawaii State Dent Assoc	
Journal of the History of Dentistry	J. Hist. Dent.	J Hist Dent	
Journal of the History of Medicine and Allied Sciences	J. Hist. Med. Allied Sci.	J Hist Med Allied Sci	Journal of the History of Medicine & Allied Sciences
Journal of the History of the Behavioral Sciences	J. Hist. Behav. Sci.	J Hist Behav Sci	
Journal of the Houston District Dental Society	J. Houston Dist. Dent. Soc.	J Houston Dist Dent Soc	
Journal of the Indian Academy of Dentistry	J. Indian Acad. Dent.	J Indian Acad Dent	
Journal of the Indian Dental Association	J. Indian Dent. Assoc.	J Indian Dent Assoc	
Journal of the Indian Medical Association	J. Indian Med. Assoc.	J Indian Med Assoc	
Journal of the Indian Medical Profession	J. Indian Med. Prof.	J Indian Med Prof	
Journal of the Indian Orthodontic Society	J. Indian Orthod. Soc.	J Indian Orthod Soc	
Journal of the Indian Society of Pedodontics and Preventive Dentistry	J. Indian Soc. Pedod. Prev. Dent.	J Indian Soc Pedod Prev Dent	Journal of the Indian Society of Pedodontics & Preventive Dentistry
Journal of the Indiana Dental Association	J. Indiana Dent. Assoc.	J Indiana Dent Assoc	
Journal of the Indiana State Dental Association	J. Indiana State Dent. Assoc.	J Indiana State Dent Assoc	
Journal of the Indiana State Medical Association	J. Indiana State Med. Assoc.	J Indiana State Med Assoc	
Journal of the Indianapolis District Dental Society	J. Indianap. Dist. Dent. Soc.	J Indianap Dist Dent Soc	
Journal of the Institute of Hospital Engineering	J. Inst. Hosp. Eng.	J Inst Hosp Eng	
Journal of the International Association of Dentistry for Children	J. Int. Assoc. Dent. Child.	J Int Assoc Dent Child	
Journal of the International College of Dentists; Japan Section	J. Int. Coll. Dent. (Jpn).	J Int Coll Dent (Jpn)	
Journal of the International College of Surgeons	J. Int. Coll. Surg.	J Int Coll Surg	
Journal of the International Federation of Clinical Chemistry	J. Int. Fed. Clin. Chem.	J Int Fed Clin Chem	
Journal of the International Neuropsychological Society	J. Int. Neuropsychol. Soc.	J Int Neuropsychol Soc	
Journal of the Iowa Medical Society	J. Iowa Med. Soc.	J Iowa Med Soc	
Journal of the Iran Dental Association	J. Iran Dent. Assoc.	J Iran Dent Assoc	
Journal of the Irish Dental Association	J. Ir. Dent. Assoc.	J Ir Dent Assoc	
Journal of the Irish Medical Association	J. Ir. Med. Assoc.	J Ir Med Assoc	
Journal of the Japanese Obstetrical and Gynecological Society	J. Jpn. Obstet. Gynecol. Soc.	J Jpn Obstet Gynecol Soc	Journal of the Japanese Obstetrical & Gynecological Society
Journal of the Kansas Dental Association	J. Kans. Dent. Assoc.	J Kans Dent Assoc	
Journal of the Kansas Medical Society	J. Kans. Med. Soc.	J Kans Med Soc	
Journal of the Kansas State Dental Association	J. Kans. State Dent. Assoc.	J Kans State Dent Assoc	
Journal of the Kentucky Dental Association	J. Ky. Dent. Assoc.	J Ky Dent Assoc	
Journal of the Kentucky Medical Association	J. Ky. Med. Assoc.	J Ky Med Assoc	
Journal of the Korean Research Society for Dental Hypnosis	J. Korean Res. Soc. Dent. Hypn.	J Korean Res Soc Dent Hypn	
Journal of the Louisiana Dental Association	J. La. Dent. Assoc.	J La Dent Assoc	
Journal of the Louisiana State Medical Society	J. La. State Med. Soc.	J La State Med Soc	
Journal of the Macomb Dental Society	J. Macomb Dent. Soc.	J Macomb Dent Soc	
Journal of the Maine Medical Association	J. Maine Med. Assoc.	J Maine Med Assoc	
Journal of the Maryland State Dental Association	J. Md. State Dent. Assoc.	J Md State Dent Assoc	
Journal of the Massachusetts Dental Society	J. Mass. Dent. Soc.	J Mass Dent Soc	
Journal of the Medical Association of Georgia	J. Med. Assoc. Ga.	J Med Assoc Ga	
Journal of the Medical Association of Thailand	J. Med. Assoc. Thai.	J Med Assoc Thai	
Journal of the Medical Association of the State of Alabama	J. Med. Assoc. State Ala.	J Med Assoc State Ala	
Journal of the Medical Society of New Jersey	J. Med. Soc. N. J.	J Med Soc N J	
Journal of the Mercer Dental Society	J. Mercer Dent. Soc.	J Mercer Dent Soc	
Journal of the Michigan State Dental Association	J. Mich. State Dent. Assoc.	J Mich State Dent Assoc	
Journal of the Mississippi State Medical Association	J. Miss. State Med. Assoc.	J Miss State Med Assoc	
Journal of the Missouri Dental Association	J. Mo. Dent. Assoc.	J Mo Dent Assoc	
Journal of the Mount Sinai Hospital, New York	J. Mt. Sinai Hosp. N. Y.	J Mt Sinai Hosp N Y	
Journal of the National Analgesia Society	J. Natl. Analg. Soc.	J Natl Analg Soc	
Journal of the National Association of Seventh-Day Adventist Dentists	J. Natl. Assoc. Seventh. Day Advent. Dent.	J Natl Assoc Seventh Day Advent Dent	
Journal of the National Cancer Institute	J. Natl. Cancer Inst.	J Natl Cancer Inst	
Journal of the National Cancer Institute. Monographs.	J. Natl. Cancer Inst. Monogr.	J Natl Cancer Inst Monogr	
Journal of the National Medical Association	J. Natl. Med. Assoc.	J Natl Med Assoc	
Journal of the Nebraska Dental Association	J. Nebr. Dent. Assoc.	J Nebr Dent Assoc	
Journal of the Neurological Sciences	J. Neurol. Sci.	J Neurol Sci	
Journal of the New Jersey Dental Association	J. N. J. Dent. Assoc.	J N J Dent Assoc	
Journal of the New Jersey Dental Hygienists Association	J. N. J. Dent. Hyg. Assoc.	J N J Dent Hyg Assoc	
Journal of the New Jersey State Dental Society	J. N. J. State Dent. Soc.	J N J State Dent Soc	
Journal of the New York State Nurses Association	J. N. Y. State Nurses Assoc.	J N Y State Nurses Assoc	
Journal of the New York State School Nurse Teachers Association	J. N. Y. State Sch. Nurse Teach. Assoc.	J N Y State Sch Nurse Teach Assoc	
Journal of the Nigeria Association of Dental Students	J. Niger. Assoc. Dent. Stud.	J Niger Assoc Dent Stud	
Journal of the North Carolina Dental Society	J. N. C. Dent. Soc.	J N C Dent Soc	
Journal of the Ontario Dental Association	J. Ont. Dent. Assoc.	J Ont Dent Assoc	
Journal of the Operating Room Research Institute	J. Oper. Room Res. Inst.	J Oper Room Res Inst	
Journal of the Operational Research Society	J. Oper. Res. Soc.	J Oper Res Soc	
Journal of the Optical Society of America	J. Opt. Soc. Am.	J Opt Soc Am	
Journal of the Optical Society of America A. Optics and Image Science	J. Opt. Soc. Am. A.	J Opt Soc Am A	Journal of the Optical Society of America A. Optics & Image Science
Journal of the Optical Society of America A. Optics, Image Science, and Vision	J. Opt. Soc. Am. A. Opt. Image Sci. Vis.	J Opt Soc Am A Opt Image Sci Vis	Journal of the Optical Society of America A. Optics, Image Science, & Vision
Journal of the Oregon Dental Association	J. Oreg. Dent. Assoc.	J Oreg Dent Assoc	
Journal of the Osaka University Dental School	J. Osaka Univ. Dent. Sch.	J Osaka Univ Dent Sch	
Journal of the Oslo City Hospitals	J. Oslo City Hosp.	J Oslo City Hosp	
Journal of the Oto-Laryngological Society of Australia	J. Otolaryngol. Soc. Aust.	J Otolaryngol Soc Aust	
Journal of the Parenteral Drug Association	J. Parenter. Drug Assoc.	J Parenter Drug Assoc	
Journal of the Peripheral Nervous System	J. Peripher. Nerv. Syst.	J Peripher Nerv Syst	
Journal of the Philadelphia County Dental Society	J. Phila. Cty. Dent. Soc.	J Phila Cty Dent Soc	
Journal of the Philippine Dental Association	J. Philipp. Dent. Assoc.	J Philipp Dent Assoc	
Journal of the Philippine Federation of Private Medical Practitioners	J. Philipp. Fed. Priv. Med. Pract.	J Philipp Fed Priv Med Pract	
Journal of the Philippine Medical Association	J. Philipp. Med. Assoc.	J Philipp Med Assoc	
Journal of the Reticuloendothelial Society	J. Reticuloendothel. Soc.	J Reticuloendothel Soc	
Journal of the Rhode Island State Dental Society	J. R. I. State Dent. Soc.	J R I State Dent Soc	
Journal of the Rocky Mountain Analgesia Society	J. Rocky Mt. Analg. Soc.	J Rocky Mt Analg Soc	
Journal of the Royal Army Medical Corps	J. R. Army Med. Corps	J R Army Med Corps	
Journal of the Royal College of General Practitioners	J. R. Coll. Gen. Pract.	J R Coll Gen Pract	
Journal of the Royal College of General Practitioners. Occasional Paper	J. R. Coll. Gen. Pract. Occas. Pap.	J R Coll Gen Pract Occas Pap	
Journal of the Royal College of Physicians of London	J. R. Coll. Physicians Lond.	J R Coll Physicians Lond	
Journal of the Royal College of Surgeons of Edinburgh	J. R. Coll. Surg. Edinb.	J R Coll Surg Edinb	
Journal of the Royal Microscopical Society	J. R. Microsc. Soc.	J R Microsc Soc	
Journal of the Royal Naval Medical Service	J. R. Nav. Med. Serv.	J R Nav Med Serv	
Journal of the Royal Society of Health	J. R. Soc. Health	J R Soc Health	
Journal of the Royal Society of Medicine	J. R. Soc. Med.	J R Soc Med	
Journal of the San Antonio District Dental Society	J. San Antonio Dent. Soc.	J San Antonio Dent Soc	
Journal of the Science of Food and Agriculture	J. Sci. Food Agric.	J Sci Food Agric	Journal of the Science of Food & Agriculture
Journal of the Seattle District Dental Society	J. Seattle Dist. Dent. Soc.	J Seattle Dist Dent Soc	
Journal of the Singapore Paediatric Society	J. Singapore Paediatr. Soc.	J Singapore Paediatr Soc	
Journal of the Society for Gynecologic Investigation	J. Soc. Gynecol. Investig.	J Soc Gynecol Investig	
Journal of the Society for Health Systems	J. Soc. Health Syst.	J Soc Health Syst	
Journal of the Society of Laparoendoscopic Surgeons	J. Soc. Laparoendosc. Surg.	J Soc Laparoendosc Surg	
Journal of the Society of Occupational Medicine	J. Soc. Occup. Med.	J Soc Occup Med	
Journal of the Society of Pediatric Nurses	J. Soc. Pediatr. Nurs.	J Soc Pediatr Nurs	
Journal of the South African Speech and Hearing Association	J. S. Afr. Speech Hear. Assoc.	J S Afr Speech Hear Assoc	Journal of the South African Speech & Hearing Association
Journal of the South African Veterinary Association	J. S. Afr. Vet. Assoc.	J S Afr Vet Assoc	
Journal of the South African Veterinary Medical Association	J. S. Afr. Vet. Med. Assoc.	J S Afr Vet Med Assoc	
Journal of the Southern California Dental Hygienists Association	J. South. Calif. State. Dent. Hyg. Assoc.	J South Calif State Dent Hyg Assoc	
Journal of the Southern Orthopaedic Association	J. South. Orthop. Assoc.	J South Orthop Assoc	
Journal of the Tennessee Dental Association	J. Tenn. Dent. Assoc.	J Tenn Dent Assoc	
Journal of the Tennessee Medical Association	J. Tenn. Med. Assoc.	J Tenn Med Assoc	
Journal of the Texas Dental Hygienists Association	J. Texas Dent. Hyg. Assoc.	J Texas Dent Hyg Assoc	
Journal of the West Australian Nurses	J. West Aust. Nurses	J West Aust Nurses	
Journal of the Western Society of Periodontology / Periodontal Abstracts	J. West. Soc. Periodontal Periodontal Abstr.	J West Soc Periodontal Periodontal Abstr	
Journal of the Wisconsin Dental Association	J. Wis. Dent. Assoc.	J Wis Dent Assoc	
Journal of the Wisconsin State Dental Society	J. Wis. State Dent. Soc.	J Wis State Dent Soc	
Journal of Theoretical Biology	J. Theor. Biol.	J Theor Biol	
Journal of Thoracic and Cardiovascular Surgery	J. Thorac. Cardiovasc. Surg.	J Thorac Cardiovasc Surg	Journal of Thoracic & Cardiovascular Surgery
Journal of Thoracic Imaging	J. Thorac. Imaging	J Thorac Imaging	
Journal of Thrombosis and Thrombolysis	J. Thromb. Thrombolysis	J Thromb Thrombolysis	Journal of Thrombosis & Thrombolysis
Journal of Tongji Medical University	J. Tongji Med. Univ.	J Tongji Med Univ	
Journal of Toxicological Sciences	J. Toxicol. Sci.	J Toxicol Sci	
Journal of Toxicology and Environmental Health	J. Toxicol. Environ. Health	J Toxicol Environ Health	Journal of Toxicology & Environmental Health
Journal of Toxicology and Environmental Health. Part B, Critical Reviews	J. Toxicol. Environ. Health. B. Crit. Rev.	J Toxicol Environ Health B Crit Rev	Journal of Toxicology & Environmental Health. Part B, Critical Reviews
Journal of Toxicology and Environmental Health. Supplement	J. Toxicol. Environ. Health. Suppl.	J Toxicol Environ Health Suppl	Journal of Toxicology & Environmental Health. Supplement
Journal of Toxicology. Clinical Toxicology	J. Toxicol. Clin. Toxicol.	J Toxicol Clin Toxicol	
Journal of Trace Elements and Electrolytes in Health and Disease	J. Trace Elem. Electrolytes Health Dis.	J Trace Elem Electrolytes Health Dis	Journal of Trace Elements & Electrolytes in Health & Disease
Journal of Trace Elements in Medicine and Biology	J. Trace Elem. Med. Biol.	J Trace Elem Med Biol	Journal of Trace Elements in Medicine & Biology
Journal of Traditional Chinese Medicine	J. Tradit. Chin. Med.	J Tradit Chin Med	
Journal of Transcultural Nursing	J. Transcult. Nurs.	J Transcult Nurs	
Journal of Transplant Coordination	J. Transpl. Coord.	J Transpl Coord	
Journal of Trauma	J. Trauma	J Trauma	
Journal of Trauma Nursing	J. Trauma Nurs.	J Trauma Nurs	
Journal of Traumatic Stress	J. Trauma. Stress	J Trauma Stress	
Journal of Travel Medicine	J. Travel Med.	J Travel Med	
Journal of Tropical Medicine and Hygiene	J. Trop. Med. Hyg.	J Trop Med Hyg	Journal of Tropical Medicine & Hygiene
Journal of Tropical Pediatrics	J. Trop. Pediatr.	J Trop Pediatr	
Journal of Tropical Pediatrics and African Child Health	J. Trop. Pediatr. Afr. Child Health	J Trop Pediatr Afr Child Health	Journal of Tropical Pediatrics & African Child Health
Journal of Tropical Pediatrics and Environmental Child Health	J. Trop. Pediatr. Environ. Child Health	J Trop Pediatr Environ Child Health	Journal of Tropical Pediatrics & Environmental Child Health
Journal of Ultrasound in Medicine	J. Ultrasound Med.	J Ultrasound Med	
Journal of Ultrastructure and Molecular Structure Research	J. Ultrastruct. Mol. Struct. Res.	J Ultrastruct Mol Struct Res	Journal of Ultrastructure & Molecular Structure Research
Journal of Ultrastructure Research	J. Ultrastruct. Res.	J Ultrastruct Res	
Journal of Urban Health	J. Urban Health	J Urban Health	
Journal of Urology	J. Urol.	J Urol	
Journal of Vascular and Interventional Radiology	J. Vasc. Interv. Radiol.	J Vasc Interv Radiol	Journal of Vascular & Interventional Radiology
Journal of Vascular Nursing	J. Vasc. Nurs.	J Vasc Nurs	
Journal of Vascular Research	J. Vasc. Res.	J Vasc Res	
Journal of Vascular Surgery	J. Vasc. Surg.	J Vasc Surg	
Journal of Vector Ecology	J. Vector Ecol.	J Vector Ecol	
Journal of Vestibular Research	J. Vestib. Res.	J Vestib Res	
Journal of Veterinary Dentistry	J. Vet. Dent.	J Vet Dent	
Journal of Veterinary Diagnostic Investigation	J. Vet. Diagn. Invest.	J Vet Diagn Invest	
Journal of Veterinary Internal Medicine	J. Vet. Intern. Med.	J Vet Intern Med	
Journal of Veterinary Medical Science	J. Vet. Med. Sci.	J Vet Med Sci	
Journal of Veterinary Pharmacology and Therapeutics	J. Vet. Pharmacol. Ther.	J Vet Pharmacol Ther	Journal of Veterinary Pharmacology & Therapeutics
Journal of Viral Hepatitis	J. Viral Hepat.	J Viral Hepat	
Journal of Virological Methods	J. Virol. Methods	J Virol Methods	
Journal of Virology	J. Virol.	J Virol	
Journal of Vitaminology	J. Vitaminol. (Kyoto).	J Vitaminol (Kyoto)	
Journal of Vocational Behavior	J. Vocat. Behav.	J Vocat Behav	
Journal of Voice	J. Voice	J Voice	
Journal of Volunteer Administration	J. Volunt. Adm.	J Volunt Adm	
Journal of Wildlife Diseases	J. Wildl. Dis.	J Wildl Dis	
Journal of Women and Aging	J. Women Aging	J Women Aging	Journal of Women & Aging
Journal of Womens Health	J. Womens Health	J Womens Health	
Journal of Wound Care	J. Wound Care	J Wound Care	
Journal of Wound, Ostomy and Continence Nursing	J. Wound. Ostomy Continence Nurs.	J Wound Ostomy Continence Nurs	Journal of Wound, Ostomy & Continence Nursing
Journal of Zoology	J. Zool.	J Zool	
Journal - Oklahoma Dental Association	J. Okla. Dent. Assoc.	J Okla Dent Assoc	
Journal - Oklahoma State Dental Association	J. Okla. State Dent. Assoc.	J Okla State Dent Assoc	
Journal - Oklahoma State Medical Association	J. Okla. State Med. Assoc.	J Okla State Med Assoc	
Journal - Seattle-King County Dental Society	J. Seattle. King Cty. Dent. Soc.	J Seattle King Cty Dent Soc	
Journal - South Carolina Medical Association	J. S. C. Med. Assoc.	J S C Med Assoc	
Journal / Southern California Dental Assistants Association	J. South. Calif. Dent. Assistants Assoc.	J South Calif Dent Assistants Assoc	
Journal - Southern California Dental Association	J. South. Calif. Dent. Assoc.	J South Calif Dent Assoc	
Journal - Southern California State Dental Association	J. South. Calif. State Dent. Assoc.	J South Calif State Dent Assoc	
Journal - Tennessee State Dental Association	J. Tenn. State Dent. Assoc.	J Tenn State Dent Assoc	
Journal - Water Pollution Control Federation	J. Water Pollut. Control Fed.	J Water Pollut Control Fed	
Journalen Sykepleien	J. Sykepleien	J Sykepleien	
Journalism Conference and Workshop	J. Conf. Workshop	J Conf Workshop	Journalism Conference & Workshop
Journals of Gerontology. Series A, Biological Sciences and Medical Sciences	J. Gerontol. A. Biol. Sci. Med. Sci.	J Gerontol A Biol Sci Med Sci	Journals of Gerontology. Series A, Biological Sciences & Medical Sciences
Journals of Gerontology. Series B, Psychological Sciences and Social Sciences	J. Gerontol. B. Psychol. Sci. Soc. Sci.	J Gerontol B Psychol Sci Soc Sci	Journals of Gerontology. Series B, Psychological Sciences & Social Sciences
Journees Annuelles de Diabetologie de l Hotel-Dieu	Journ. Annu. Diabetol. Hotel. Dieu	Journ Annu Diabetol Hotel Dieu	
JPEN. Journal of Parenteral and Enteral Nutrition	JPEN. J. Parenter. Enteral Nutr.	JPEN J Parenter Enteral Nutr	JPEN. Journal of Parenteral & Enteral Nutrition
JPMA. Journal of the Pakistan Medical Association	JPMA. J. Pak. Med. Assoc.	JPMA J Pak Med Assoc	
JPO. Journal of Practical Orthodontics	JPO. J. Pract. Orthod.	JPO J Pract Orthod	
JSLS / Society of Laparoendoscopic Surgeons	JSLS	JSLS	
Jugoslavenska Ginekologija i Opstetricija	Jugosl. Ginekol. Opstet.	Jugosl Ginekol Opstet	
Jugoslavenska Ginekologija i Perinatologija	Jugosl. Ginekol. Perinatol.	Jugosl Ginekol Perinatol	
Justus Liebigs Annalen der Chemie	Justus Liebigs Ann. Chem.	Justus Liebigs Ann Chem	
K Reports	K Rep.	K Rep	
Kaibogaku Zasshi. Journal of Anatomy	Kaibogaku Zasshi.	Kaibogaku Zasshi	
Kaku Igaku	Kaku Igaku	Kaku Igaku	
Kanagawa Shigaku	Kanagawa Shigaku	Kanagawa Shigaku	
Kango	Kango	Kango	
Kango Gijutsu. Japanese Journal of Nursing Art	Kango Gijutsu.	Kango Gijutsu	
Kango Kenkyu. Japanese Journal of Nursing Research	Kango Kenkyu.	Kango Kenkyu	
Kango Kyoiku. Japanese Journal of Nurses Education	Kango Kyoiku.	Kango Kyoiku	
Kango Kyoshitsu. Japanese Journal of the Nursing Class	Kango Kyoshitsu.	Kango Kyoshitsu	
Kango Tenbo. The Japanese Journal of Nursing Science	Kango Tenbo.	Kango Tenbo	
Kangogaku Zasshi. Japanese Journal of Nursing	Kangogaku Zasshi.	Kangogaku Zasshi	
Kanho Hakhoe Chi	Kanho Hakhoe Chi	Kanho Hakhoe Chi	
Kanhohak Tamgu	Kanhohak Tamgu	Kanhohak Tamgu	
Kansas Medicine	Kans. Med.	Kans Med	
Kansas Nurse	Kans. Nurse	Kans Nurse	
Kansenshogaku Zasshi. Journal of the Japanese Association for Infectious Diseases	Kansenshogaku Zasshi.	Kansenshogaku Zasshi	
Kao-Hsiung i Hsueh Ko Hsueh Tsa Chih	Kao. Hsiung I. Hsueh Ko Hsueh Tsa Chih	Kao Hsiung I Hsueh Ko Hsueh Tsa Chih	
Kardiologia Polska	Kardiol. Pol.	Kardiol Pol	
Kardiologiia	Kardiologiia	Kardiologiia	
Kassenzahnarzt; Colloquium Med Dent	Kassenzahnarzt. Colloq. Med Dent	Kassenzahnarzt Colloq Med Dent	
Katilolehti; Tidskrift for Barnmorskor	Katilolehti.	Katilolehti	
Keio Journal of Medicine	Keio J. Med.	Keio J Med	
Keisei Geka. Japanese Journal of Plastic and Reconstructive Surgery	Keisei Geka.	Keisei Geka	Keisei Geka. Japanese Journal of Plastic & Reconstructive Surgery
Kekkaku	Kekkaku	Kekkaku	
Kennedy Institute of Ethics Journal	Kennedy Inst. Ethics J.	Kennedy Inst Ethics J	
Kentucky Dental Journal	Ky. Dent. J.	Ky Dent J	
Kentucky Hospitals Magazine	Ky. Hosp. Mag.	Ky Hosp Mag	
Kentucky Nurse	Ky. Nurse	Ky Nurse	
Kentucky Nurses Association Newsletter	Ky. Nurses Assoc. Newsl.	Ky Nurses Assoc Newsl	
Kenya Nursing Journal	Kenya Nurs. J.	Kenya Nurs J	
Khirurgiia	Khirurgiia (Sofiia).	Khirurgiia (Sofiia)	
Kidney and Blood Pressure Research	Kidney Blood Press. Res.	Kidney Blood Press Res	Kidney & Blood Pressure Research
Kidney International	Kidney Int.	Kidney Int	
Kidney International. Supplement	Kidney Int. Suppl.	Kidney Int Suppl	
Kinderarztliche Praxis	Kinderarztl. Prax.	Kinderarztl Prax	
Kinderkrankenschwester	Kinderkrankenschwester	Kinderkrankenschwester	
King Faisal Specialist Hospital Medical Journal	King Faisal Spec. Hosp. Med. J.	King Faisal Spec Hosp Med J	
Kisaengchunghak Chapchi. Korean Journal of Parasitology	Kisaengchunghak Chapchi.	Kisaengchunghak Chapchi	
Kitasato Archives of Experimental Medicine	Kitasato Arch. Exp. Med.	Kitasato Arch Exp Med	
Klinicheskaia Laboratornaia Diagnostika	Klin. Lab. Diagn.	Klin Lab Diagn	
Klinicheskaia Meditsina	Klin. Med. (Mosk).	Klin Med (Mosk)	
Klinichna Khirurhiia	Klin. Khir.	Klin Khir	
